symbol,results_date,relative_change_7D,higher_highs_count,is_delivery_increasing
21STCENMGM,2021-10-21,-3.42,1,False
CENTRALBK,2021-10-26,-3.43,2,False
VIMTALABS,2021-10-23,-3.49,1,False
ASAHISONG,2021-10-26,-3.52,1,False
DRREDDY,2021-10-29,-3.54,1,False
KANSAINER,2021-10-25,-3.64,2,False
ZYDUSWELL,2021-10-28,-3.65,1,True
KABRAEXTRU,2021-10-21,-3.66,1,False
WENDT,2021-10-22,-3.66,0,False
UBL,2021-10-27,-3.69,0,False
ABCAPITAL,2021-11-01,-3.71,0,False
SUDARSCHEM,2021-10-28,-3.8,0,False
EXIDEIND,2021-10-29,-3.81,0,False
SALZERELEC,2021-11-01,-3.83,1,False
JCHAC,2021-10-28,-3.88,0,False
ALLSEC,2021-10-25,-3.92,2,False
COROMANDEL,2021-10-28,-3.92,0,False
VALIANTORG,2021-10-28,-3.95,2,False
GULPOLY,2021-10-28,-3.98,1,True
BLUEDART,2021-10-29,-4.0,1,False
TORNTPOWER,2021-10-27,-4.03,1,True
SHK,2021-10-29,-4.03,0,False
SIS,2021-10-27,-4.04,1,False
JUBLINDS,2021-10-21,-4.1,2,False
SAGCEM,2021-10-27,-4.11,1,False
CENTENKA,2021-10-26,-4.12,0,False
SHARDACROP,2021-10-26,-4.13,0,False
63MOONS,2021-10-21,-4.14,1,False
IDBI,2021-10-21,-4.14,2,False
KOKUYOCMLN,2021-10-28,-4.17,1,False
AUBANK,2021-10-28,-4.18,1,False
MMP,2021-10-27,-4.43,1,False
KUANTUM,2021-10-28,-4.47,1,False
SWARAJENG,2021-10-25,-4.48,1,False
ADFFOODS,2021-10-29,-4.48,1,True
CORALFINAC,2021-10-28,-4.49,2,False
VIPCLOTHNG,2021-11-01,-4.51,1,False
APTUS,2021-10-29,-4.54,0,False
TTKHLTCARE,2021-10-29,-4.57,1,False
TORNTPHARM,2021-10-26,-4.64,1,False
GAIL,2021-10-29,-4.65,2,False
3PLAND,2021-10-28,-4.66,1,False
NELCAST,2021-11-01,-4.68,1,False
JAYAGROGN,2021-10-30,-4.68,1,False
ALKYLAMINE,2021-11-02,-4.7,0,False
PILITA,2021-10-22,-4.7,0,False
CASTROLIND,2021-10-29,-4.74,1,False
OAL,2021-10-26,-4.75,0,False
COLPAL,2021-10-25,-4.79,0,False
VOLTAS,2021-10-29,-4.83,2,False
SUBEXLTD,2021-10-28,-4.84,1,False
VENKEYS,2021-11-01,-4.87,1,False
VISAKAIND,2021-10-30,-4.87,1,False
TITAN,2021-10-27,-4.96,2,False
INDHOTEL,2021-10-21,-4.96,1,False
SUMICHEM,2021-10-29,-5.07,0,False
SURYAROSNI,2021-10-26,-5.1,1,False
SHANTIGEAR,2021-10-22,-5.16,1,False
AAVAS,2021-10-28,-5.16,2,False
VBL,2021-10-29,-5.17,3,False
